Title,Fruits,Meat,Vegetable
9-Layer Kueh 九层糕,7.0,,1.0
Art Buah Hainanese Kueh,6.0,,2.0
Assam Laksa,12.0,2.0,12.0
Chendol,6.0,,2.0
Chicken Curry Muthu Style,9.0,1.0,8.0
Crispy Roast Pork Belly,,1.0,5.0
Durian Apom Balik,8.0,,
Eurasian Devil Curry,8.0,3.0,14.0
Fish Masala,8.0,1.0,5.0
Fish Pulau with Sai Bhaji and Carrot & Cucumber Raita,14.0,2.0,23.0
Fried Chicken Wings with Kicap Manis,9.0,3.0,4.0
Gado Gado,10.0,1.0,11.0
Granny’s Chicken Soup,6.0,1.0,7.0
Green Chilli Prawn Sambal,5.0,2.0,6.0
Hainanese Pork Chop,10.0,2.0,4.0
Hakka Abacus Seeds 算盘子,6.0,3.0,6.0
Hakka Pancake Roll,6.0,1.0,3.0
Hakka Yong Tau Foo,9.0,3.0,11.0
Hakka ‘Choy Ban’ 河婆客家之元宝菜粄,13.0,2.0,2.0
Hokkien Glutinous Rice,5.0,4.0,5.0
Hokkien “Chiu Kang” Mee,7.0,3.0,8.0
Kana Chai Pasta,5.0,,5.0
Lauk Singgang Fish,5.0,,9.0
Lotus Root Soup,4.0,,
Mama’s Ayam Buah Keluak,7.0,2.0,4.0
Mustard Green Pork Rice,8.0,1.0,3.0
Mutton Curry,12.0,1.0,15.0
Pig Stomach Pork Rib Soup,4.0,2.0,3.0
Pok Chang,13.0,1.0,4.0
Pork Belly With Fermented Beancurd,5.0,1.0,5.0
Potato Dumpling,9.0,2.0,5.0
Pumpkin Tang Yuan,4.0,,4.0
Singapore’s Best Chicken Wings,4.0,2.0,2.0
Soon Kueh 笋粿,7.0,1.0,3.0
Soya Sauce Chicken Glazed With Sesame Oil,7.0,1.0,5.0
Steamed Dang Gui Chicken with Black Fungus,8.0,2.0,5.0
Steamed Pork In Prawn Paste,4.0,2.0,3.0
Steamed Pork With Salted Fish,3.0,2.0,7.0
Sweet Potatoes Kueh,8.0,2.0,7.0
Teochew Orh Nee,6.0,,2.0
Udang Goreng Assam,3.0,1.0,1.0
Yam Rice,7.0,3.0,5.0
‘Yong Tau Foo’ Stuffed Green Chilli,1.0,1.0,5.0
